iso-3,year,n_cellphones,population
PRK,1965,0.0,13105946.0
PRT,1965,0.0,8998595.0
PRY,1965,0.0,2143153.0
PSE,1965,0.0,2143153.0
PYF,1965,0.0,98674.0
QAT,1965,0.0,64843.0
ROU,1965,0.0,19031576.0
RUS,1965,0.0,126745000.0
RWA,1965,0.0,3348631.0
SAU,1965,0.0,4978922.0
SDN,1965,0.0,9712785.0
SEN,1965,0.0,3770874.0
SGP,1965,0.0,1886900.0
SLB,1965,0.0,151495.0
SLE,1965,0.0,2520576.0
SLV,1965,0.0,3179506.0
SMR,1965,0.0,17273.0
SOM,1965,0.0,3267593.0
SRB,1965,0.0,6794000.0
SSD,1965,0.0,3143622.0
STP,1965,0.0,71730.0
SUR,1965,0.0,321069.0
SVK,1965,0.0,4370983.0
SVN,1965,0.0,1649160.0
SWE,1965,0.0,7733853.0
SWZ,1965,0.0,388317.0
SXM,1965,0.0,4161.0
SYC,1965,0.0,47500.0
SYR,1965,0.0,5368451.0
TCA,1965,0.0,5650.0
TCD,1965,0.0,3336338.0
TGO,1965,0.0,1820396.0
THA,1965,0.0,30940270.0
TJK,1965,0.0,2538295.0
TKM,1965,0.0,1897095.0
TLS,1965,0.0,507477.0
TON,1965,0.0,77686.0
TTO,1965,0.0,928462.0
TUN,1965,0.0,4457282.0
TUR,1965,0.0,31374536.0
TUV,1965,0.0,5548.0
TZA,1965,0.0,11630603.0
UGA,1965,0.0,8829056.0
UKR,1965,0.0,45387091.0
URY,1965,0.0,2680427.0
USA,1965,0.0,194303000.0
UZB,1965,0.0,10130096.0
VCT,1965,0.0,91495.0
VEN,1965,0.0,9688138.0
VGB,1965,0.0,8018.0
VIR,1965,0.0,43500.0
VNM,1965,0.0,37466077.0
VUT,1965,0.0,74677.0
WSM,1965,0.0,129789.0
XKX,1965,0.0,1078000.0
YEM,1965,0.0,6097298.0
ZAF,1965,0.0,19187194.0
ZMB,1965,0.0,3658024.0
ZWE,1965,0.0,4447149.0
ABW,1966,0.0,59291.0
AFG,1966,0.0,9783147.0
AGO,1966,0.0,5787044.0
ALB,1966,0.0,1914573.0
AND,1966,0.0,14546.0
ARE,1966,0.0,182509.0
ARG,1966,0.0,22403116.0
ARM,1966,0.0,2295496.0
ASM,1966,0.0,24122.0
ATG,1966,0.0,60615.0
AUS,1966,0.0,11651000.0
AUT,1966,0.0,7322066.0
AZE,1966,0.0,4708150.0
BDI,1966,0.0,3193378.0
BEL,1966,0.0,9527807.0
BEN,1966,0.0,2788642.0
BFA,1966,0.0,5242797.0
BGD,1966,0.0,60265259.0
BGR,1966,0.0,8258057.0
BHR,1966,0.0,199019.0
BHS,1966,0.0,151323.0
BIH,1966,0.0,3620849.0
BLR,1966,0.0,8696496.0
BLZ,1966,0.0,108062.0
BMU,1966,0.0,51000.0
BOL,1966,0.0,4204065.0
BRA,1966,0.0,86979283.0
BRB,1966,0.0,238494.0
BRN,1966,0.0,112597.0
BTN,1966,0.0,262976.0
BWA,1966,0.0,574855.0
CAF,1966,0.0,1888853.0
CAN,1966,0.0,20048000.0
CHE,1966,0.0,5918002.0
CHL,1966,0.0,9161649.0
CHN,1966,0.0,735400000.0
CIV,1966,0.0,4671196.0
CMR,1966,0.0,5829580.0
COD,1966,0.0,17941738.0
COG,1966,0.0,1242116.0
COL,1966,0.0,18811407.0
COM,1966,0.0,219369.0
CPV,1966,0.0,252238.0
CRI,1966,0.0,1654619.0
CUB,1966,0.0,8230450.0
CUW,1966,0.0,136682.0
CYM,1966,0.0,9566.0
CYP,1966,0.0,622566.0
CZE,1966,0.0,9821040.0
DEU,1966,0.0,76600311.0
DJI,1966,0.0,114874.0
DMA,1966,0.0,64728.0
DNK,1966,0.0,4797381.0
DOM,1966,0.0,3987090.0
DZA,1966,0.0,12613389.0
ECU,1966,0.0,5495761.0
EGY,1966,0.0,31613132.0
ERI,1966,0.0,1150264.0
ESP,1966,0.0,32283194.0
EST,1966,0.0,1308597.0
ETH,1966,0.0,25377645.0
FIN,1966,0.0,4580869.0
FJI,1966,0.0,482358.0
FRA,1966,0.0,49817041.0
FRO,1966,0.0,36825.0
FSM,1966,0.0,52346.0
GAB,1966,0.0,555748.0
GBR,1966,0.0,54648500.0
